Step,Softmax (tau=1.5),PreferenceGradient
0,7.60,9.40
20,15.80,18.00
40,17.40,27.00
60,14.80,32.40
80,18.80,36.60
100,19.20,39.80
120,14.80,42.00
140,20.80,42.80
160,19.40,45.80
180,17.40,45.80
200,17.60,46.00
220,20.80,47.60
240,18.40,46.00
260,19.20,48.20
280,18.20,49.00
300,18.20,49.40
320,17.60,49.00
340,21.40,49.40
360,20.60,49.20
380,21.40,50.40
400,16.00,51.40
420,18.80,50.20
440,19.20,50.00
460,17.80,49.80
480,16.60,52.00
500,17.00,50.40
520,19.80,51.40
540,17.80,51.80
560,20.80,51.40
580,18.20,51.40
600,17.00,51.80
620,19.40,51.00
640,16.20,51.20
660,17.80,51.80
680,17.20,50.60
700,18.80,51.20
720,17.20,51.20
740,21.00,52.20
760,17.60,52.00
780,17.00,51.80
800,18.40,51.40
820,17.60,51.60
840,18.80,52.00
860,19.00,52.40
880,17.80,51.40
900,18.40,51.60
920,19.40,51.80
940,17.00,52.00
960,18.40,51.60
980,18.80,52.40
