Step,Softmax (tau=0.1),PreferenceGradient
0,0.36,0.30
20,3.84,6.96
40,6.29,13.37
60,8.47,19.66
80,10.68,25.60
100,12.49,31.35
120,14.41,36.80
140,16.34,41.95
160,18.09,46.95
180,19.77,51.68
200,21.38,56.18
220,23.02,60.31
240,24.74,64.48
260,26.35,68.33
280,27.93,71.93
300,29.64,75.37
320,31.32,78.76
340,32.90,81.79
360,34.32,84.70
380,35.85,87.33
400,37.18,89.95
420,38.74,92.41
440,40.24,94.87
460,41.52,97.08
480,43.00,99.11
500,44.26,101.08
520,45.76,103.11
540,46.88,104.83
560,48.32,106.54
580,49.76,108.16
600,51.06,109.64
620,52.37,111.02
640,53.72,112.38
660,55.13,113.74
680,56.42,115.04
700,57.74,116.30
720,59.17,117.41
740,60.39,118.39
760,61.59,119.41
780,62.73,120.42
800,63.91,121.38
820,65.10,122.37
840,66.45,123.35
860,67.74,124.17
880,68.92,125.06
900,70.19,125.93
920,71.44,126.70
940,72.65,127.45
960,73.93,128.16
980,75.03,128.91
