Step,Softmax (tau=1.5),PreferenceGradient
0,0.52,0.58
20,0.61,0.66
40,0.63,0.76
60,0.67,0.79
80,0.64,0.79
100,0.67,0.83
120,0.69,0.82
140,0.71,0.82
160,0.68,0.83
180,0.70,0.82
200,0.69,0.87
220,0.72,0.86
240,0.68,0.86
260,0.69,0.84
280,0.68,0.84
300,0.67,0.85
320,0.68,0.85
340,0.65,0.83
360,0.72,0.85
380,0.69,0.86
400,0.64,0.87
420,0.66,0.86
440,0.70,0.82
460,0.66,0.85
480,0.71,0.84
500,0.68,0.86
520,0.67,0.87
540,0.72,0.85
560,0.66,0.88
580,0.66,0.87
600,0.70,0.86
620,0.73,0.87
640,0.71,0.84
660,0.66,0.87
680,0.69,0.88
700,0.67,0.84
720,0.67,0.85
740,0.69,0.89
760,0.70,0.87
780,0.68,0.87
800,0.68,0.88
820,0.68,0.86
840,0.67,0.84
860,0.71,0.85
880,0.70,0.89
900,0.67,0.88
920,0.66,0.85
940,0.71,0.86
960,0.70,0.87
980,0.69,0.87
