Step,"ThompsonSampling (α=9.747819124132336, β=15.252180875867664)",BayesianUCB (γ=40)
0,12.20,97.20
20,21.40,96.40
40,26.00,96.80
60,33.20,96.20
80,38.00,97.20
100,48.40,97.00
120,48.80,97.40
140,58.00,98.00
160,61.40,97.00
180,64.40,95.00
200,63.20,97.20
220,68.60,97.20
240,70.00,97.20
260,72.40,98.20
280,75.60,96.80
300,74.60,97.60
320,80.60,96.80
340,80.00,95.20
360,83.20,96.20
380,83.40,97.00
400,80.80,97.80
420,83.40,95.80
440,84.80,98.00
460,82.80,96.60
480,85.00,96.20
500,87.60,96.60
520,86.60,96.80
540,83.60,96.20
560,88.00,96.60
580,84.80,96.40
600,89.40,97.20
620,86.00,95.20
640,84.60,98.40
660,90.20,96.80
680,89.20,95.60
700,91.00,96.60
720,89.00,96.60
740,92.00,97.20
760,89.20,96.40
780,91.20,96.60
800,93.00,96.60
820,93.80,97.60
840,91.40,96.80
860,94.40,96.60
880,93.60,96.20
900,91.40,96.80
920,90.80,96.20
940,91.00,97.80
960,91.60,98.00
980,92.80,98.00
1000,93.80,97.60
1020,92.00,96.60
1040,92.00,95.60
1060,92.60,96.80
1080,92.20,97.00
1100,93.40,96.40
1120,93.20,97.40
1140,94.20,96.60
1160,93.20,96.00
1180,94.00,96.20
1200,94.60,97.40
1220,95.20,97.20
1240,92.40,96.60
1260,93.60,97.00
1280,95.00,97.00
1300,94.60,97.80
1320,95.00,97.20
1340,93.20,97.00
1360,96.20,96.40
1380,94.60,96.40
1400,96.80,97.80
1420,94.60,94.20
1440,95.20,96.20
1460,93.20,96.60
1480,94.40,98.00
1500,95.40,95.80
1520,95.60,97.00
1540,96.80,97.40
1560,95.80,97.80
1580,96.20,96.20
1600,96.60,97.60
1620,94.20,97.40
1640,96.60,97.20
1660,95.40,97.40
1680,95.80,96.80
1700,96.80,98.20
1720,96.80,96.80
1740,97.00,95.60
1760,94.80,97.00
1780,95.20,98.00
1800,95.40,97.00
1820,96.20,96.80
1840,96.20,96.40
1860,96.60,96.60
1880,95.00,97.00
1900,97.60,97.20
1920,94.60,97.60
1940,95.00,97.60
1960,97.20,97.00
1980,96.40,96.00
2000,95.40,97.20
2020,96.80,95.60
2040,96.80,97.20
2060,95.00,97.40
2080,95.80,96.80
2100,97.00,96.40
2120,96.80,96.20
2140,96.00,97.20
2160,97.60,96.80
2180,96.80,96.60
2200,95.20,96.00
2220,97.20,97.60
2240,96.20,96.80
2260,96.60,96.20
2280,98.00,97.00
2300,98.40,97.00
2320,97.20,97.80
2340,98.80,97.40
2360,95.60,97.00
2380,97.20,96.00
2400,95.80,97.20
2420,96.60,95.60
2440,96.80,97.00
2460,97.00,97.20
2480,96.00,97.80
2500,96.20,98.80
2520,98.00,96.60
2540,96.80,97.80
2560,95.60,97.60
2580,97.20,97.60
2600,97.40,97.60
2620,98.60,97.20
2640,97.00,96.00
2660,97.00,97.60
2680,97.40,96.00
2700,97.60,96.80
2720,97.00,96.20
2740,96.60,98.00
2760,96.40,97.00
2780,95.60,96.80
2800,98.00,96.40
2820,97.60,96.00
2840,99.00,96.60
2860,97.40,96.40
2880,97.40,95.60
2900,96.60,97.40
2920,97.20,97.20
2940,96.40,96.20
2960,97.80,97.00
2980,96.60,97.20
3000,97.20,96.00
3020,97.80,97.20
3040,97.20,96.60
3060,98.00,97.40
3080,96.40,96.40
3100,97.00,96.40
3120,97.80,96.20
3140,98.20,98.20
3160,97.60,97.20
3180,97.80,96.80
3200,96.60,96.80
3220,97.60,98.00
3240,97.40,97.00
3260,95.80,96.00
3280,97.60,97.20
3300,97.40,97.20
3320,96.60,96.80
3340,98.80,97.40
3360,97.20,97.20
3380,98.80,97.00
3400,97.20,98.00
3420,97.40,97.00
3440,97.20,97.20
3460,97.60,95.80
3480,97.00,97.40
3500,96.80,96.20
3520,97.60,95.40
3540,97.40,97.40
3560,97.60,98.20
3580,98.40,97.20
3600,98.00,96.80
3620,98.00,95.80
3640,96.80,98.00
3660,96.60,96.00
3680,97.40,96.60
3700,98.60,96.60
3720,97.40,97.40
3740,98.00,97.20
3760,98.40,96.80
3780,98.60,98.40
3800,96.40,96.60
3820,97.80,96.00
3840,97.80,97.40
3860,96.20,97.20
3880,98.20,97.40
3900,97.20,97.80
3920,98.00,96.60
3940,99.00,97.60
3960,97.60,97.60
3980,97.80,97.20
