Step,"ThompsonSampling (α=9.747819124132336, β=15.252180875867664)",BayesianUCB (γ=40)
0,0.25,-0.01
20,4.73,0.09
40,8.42,0.20
60,11.63,0.35
80,14.43,0.48
100,16.97,0.65
120,19.28,0.80
140,21.31,0.89
160,23.13,0.96
180,24.73,1.10
200,26.33,1.20
220,27.68,1.35
240,28.93,1.56
260,30.21,1.60
280,31.29,1.75
300,32.38,1.90
320,33.30,2.01
340,34.19,2.21
360,35.05,2.35
380,35.89,2.50
400,36.68,2.64
420,37.38,2.82
440,38.06,2.94
460,38.76,3.08
480,39.45,3.19
500,40.07,3.30
520,40.68,3.45
540,41.30,3.61
560,41.87,3.72
580,42.40,3.85
600,42.94,3.97
620,43.38,4.11
640,43.89,4.23
660,44.39,4.36
680,44.82,4.45
700,45.30,4.58
720,45.63,4.68
740,45.98,4.75
760,46.32,4.90
780,46.76,5.04
800,47.11,5.28
820,47.45,5.44
840,47.85,5.63
860,48.12,5.77
880,48.46,5.89
900,48.82,6.01
920,49.15,6.14
940,49.53,6.26
960,49.82,6.43
980,50.15,6.54
1000,50.43,6.63
1020,50.76,6.79
1040,51.10,6.91
1060,51.37,7.06
1080,51.64,7.13
1100,51.90,7.26
1120,52.18,7.40
1140,52.44,7.55
1160,52.74,7.62
1180,53.05,7.74
1200,53.31,7.89
1220,53.48,8.04
1240,53.78,8.15
1260,54.03,8.31
1280,54.27,8.49
1300,54.48,8.62
1320,54.83,8.73
1340,55.04,8.87
1360,55.24,9.02
1380,55.45,9.13
1400,55.67,9.32
1420,55.87,9.48
1440,56.07,9.59
1460,56.30,9.61
1480,56.49,9.79
1500,56.61,9.91
1520,56.88,10.05
1540,57.07,10.16
1560,57.31,10.31
1580,57.49,10.52
1600,57.64,10.65
1620,57.79,10.73
1640,58.01,10.80
1660,58.17,10.98
1680,58.36,11.13
1700,58.46,11.23
1720,58.67,11.31
1740,58.80,11.46
1760,58.97,11.58
1780,59.15,11.69
1800,59.32,11.78
1820,59.48,11.88
1840,59.64,12.02
1860,59.78,12.16
1880,59.91,12.34
1900,60.06,12.44
1920,60.22,12.55
1940,60.36,12.70
1960,60.47,12.81
1980,60.62,12.94
2000,60.78,13.10
2020,60.93,13.29
2040,61.06,13.37
2060,61.23,13.57
2080,61.37,13.76
2100,61.49,13.81
2120,61.64,13.92
2140,61.79,14.03
2160,61.88,14.11
2180,62.03,14.22
2200,62.14,14.37
2220,62.28,14.52
2240,62.47,14.59
2260,62.57,14.71
2280,62.66,14.81
2300,62.77,14.96
2320,62.90,15.11
2340,62.99,15.29
2360,63.07,15.41
2380,63.19,15.54
2400,63.36,15.70
2420,63.46,15.85
2440,63.61,16.00
2460,63.70,16.16
2480,63.83,16.20
2500,63.99,16.31
2520,64.13,16.47
2540,64.31,16.55
2560,64.38,16.70
2580,64.44,16.79
2600,64.56,16.98
2620,64.64,17.08
2640,64.72,17.16
2660,64.89,17.26
2680,64.96,17.41
2700,65.07,17.48
2720,65.21,17.61
2740,65.37,17.77
2760,65.48,17.89
2780,65.64,18.06
2800,65.73,18.20
2820,65.88,18.30
2840,66.01,18.44
2860,66.16,18.58
2880,66.28,18.71
2900,66.41,18.86
2920,66.49,18.99
2940,66.58,19.17
2960,66.72,19.36
2980,66.81,19.42
3000,66.93,19.59
3020,67.01,19.69
3040,67.10,19.83
3060,67.23,19.98
3080,67.42,20.13
3100,67.50,20.24
3120,67.64,20.39
3140,67.72,20.51
3160,67.80,20.63
3180,67.89,20.80
3200,68.06,20.90
3220,68.17,20.94
3240,68.31,21.01
3260,68.45,21.12
3280,68.53,21.21
3300,68.63,21.37
3320,68.70,21.51
3340,68.84,21.63
3360,68.95,21.73
3380,69.06,21.83
3400,69.14,21.98
3420,69.22,22.16
3440,69.36,22.26
3460,69.46,22.37
3480,69.57,22.45
3500,69.68,22.58
3520,69.82,22.70
3540,69.91,22.77
3560,69.97,22.91
3580,70.05,22.98
3600,70.17,23.14
3620,70.31,23.20
3640,70.36,23.33
3660,70.39,23.53
3680,70.48,23.62
3700,70.55,23.80
3720,70.60,23.95
3740,70.68,24.04
3760,70.74,24.12
3780,70.80,24.17
3800,70.80,24.32
3820,70.86,24.49
3840,70.92,24.58
3860,71.05,24.72
3880,71.17,24.88
3900,71.25,25.02
3920,71.35,25.16
3940,71.43,25.18
3960,71.50,25.33
3980,71.57,25.46
