Step,"ThompsonSampling (α=9.747819124132336, β=15.252180875867664)",BayesianUCB (γ=40)
0,0.45,0.71
20,0.51,0.70
40,0.53,0.70
60,0.54,0.70
80,0.56,0.70
100,0.57,0.69
120,0.59,0.68
140,0.61,0.70
160,0.62,0.70
180,0.63,0.68
200,0.62,0.70
220,0.63,0.70
240,0.64,0.69
260,0.62,0.72
280,0.65,0.69
300,0.64,0.68
320,0.66,0.69
340,0.64,0.70
360,0.66,0.69
380,0.66,0.70
400,0.66,0.69
420,0.68,0.69
440,0.68,0.71
460,0.67,0.70
480,0.68,0.69
500,0.66,0.70
520,0.67,0.69
540,0.66,0.69
560,0.68,0.69
580,0.68,0.69
600,0.68,0.69
620,0.68,0.69
640,0.65,0.71
660,0.67,0.68
680,0.67,0.68
700,0.69,0.70
720,0.68,0.70
740,0.70,0.69
760,0.67,0.69
780,0.68,0.69
800,0.69,0.68
820,0.69,0.70
840,0.69,0.69
860,0.71,0.69
880,0.69,0.70
900,0.68,0.69
920,0.68,0.68
940,0.68,0.69
960,0.67,0.69
980,0.69,0.70
1000,0.69,0.70
1020,0.69,0.70
1040,0.69,0.70
1060,0.68,0.70
1080,0.69,0.72
1100,0.67,0.69
1120,0.69,0.70
1140,0.68,0.69
1160,0.68,0.69
1180,0.68,0.70
1200,0.69,0.69
1220,0.69,0.70
1240,0.70,0.69
1260,0.68,0.69
1280,0.70,0.69
1300,0.71,0.70
1320,0.68,0.71
1340,0.69,0.68
1360,0.70,0.69
1380,0.67,0.69
1400,0.69,0.69
1420,0.69,0.69
1440,0.69,0.70
1460,0.69,0.71
1480,0.69,0.70
1500,0.69,0.69
1520,0.67,0.70
1540,0.69,0.70
1560,0.68,0.71
1580,0.68,0.68
1600,0.68,0.69
1620,0.69,0.69
1640,0.68,0.71
1660,0.68,0.70
1680,0.70,0.68
1700,0.69,0.68
1720,0.70,0.70
1740,0.69,0.70
1760,0.68,0.69
1780,0.70,0.69
1800,0.69,0.70
1820,0.69,0.69
1840,0.70,0.69
1860,0.70,0.69
1880,0.69,0.69
1900,0.70,0.69
1920,0.68,0.69
1940,0.69,0.69
1960,0.70,0.70
1980,0.69,0.70
2000,0.69,0.69
2020,0.69,0.69
2040,0.70,0.70
2060,0.69,0.69
2080,0.70,0.68
2100,0.69,0.69
2120,0.70,0.69
2140,0.70,0.72
2160,0.71,0.69
2180,0.70,0.71
2200,0.69,0.68
2220,0.69,0.69
2240,0.70,0.69
2260,0.69,0.69
2280,0.70,0.69
2300,0.69,0.69
2320,0.69,0.69
2340,0.71,0.67
2360,0.69,0.69
2380,0.70,0.67
2400,0.69,0.69
2420,0.68,0.70
2440,0.70,0.70
2460,0.70,0.70
2480,0.68,0.68
2500,0.67,0.71
2520,0.69,0.69
2540,0.70,0.70
2560,0.69,0.70
2580,0.70,0.71
2600,0.69,0.69
2620,0.70,0.69
2640,0.71,0.69
2660,0.69,0.69
2680,0.71,0.69
2700,0.69,0.69
2720,0.68,0.70
2740,0.69,0.71
2760,0.71,0.71
2780,0.69,0.70
2800,0.69,0.69
2820,0.72,0.68
2840,0.68,0.69
2860,0.70,0.69
2880,0.69,0.70
2900,0.68,0.70
2920,0.69,0.69
2940,0.69,0.68
2960,0.69,0.68
2980,0.69,0.70
3000,0.69,0.69
3020,0.70,0.69
3040,0.70,0.70
3060,0.70,0.68
3080,0.69,0.68
3100,0.69,0.69
3120,0.69,0.69
3140,0.70,0.70
3160,0.69,0.70
3180,0.68,0.69
3200,0.69,0.70
3220,0.68,0.69
3240,0.70,0.70
3260,0.70,0.69
3280,0.70,0.69
3300,0.68,0.70
3320,0.70,0.69
3340,0.70,0.69
3360,0.69,0.69
3380,0.71,0.70
3400,0.70,0.70
3420,0.69,0.68
3440,0.70,0.70
3460,0.70,0.69
3480,0.68,0.71
3500,0.69,0.69
3520,0.69,0.69
3540,0.71,0.70
3560,0.70,0.70
3580,0.70,0.69
3600,0.70,0.70
3620,0.70,0.70
3640,0.71,0.68
3660,0.71,0.69
3680,0.69,0.69
3700,0.69,0.70
3720,0.69,0.69
3740,0.69,0.70
3760,0.71,0.68
3780,0.70,0.72
3800,0.68,0.70
3820,0.69,0.68
3840,0.71,0.70
3860,0.68,0.70
3880,0.68,0.69
3900,0.70,0.69
3920,0.69,0.69
3940,0.69,0.71
3960,0.70,0.70
3980,0.69,0.69
