Algorithm,Arm,Mean_Reward,Count
EpsilonGreedy (epsilon=0),0,1.4878648376405035,1000
EpsilonGreedy (epsilon=0),1,0.0,0
EpsilonGreedy (epsilon=0),2,0.0,0
EpsilonGreedy (epsilon=0),3,0.0,0
EpsilonGreedy (epsilon=0),4,0.0,0
EpsilonGreedy (epsilon=0),5,0.0,0
EpsilonGreedy (epsilon=0),6,0.0,0
EpsilonGreedy (epsilon=0),7,0.0,0
EpsilonGreedy (epsilon=0),8,0.0,0
EpsilonGreedy (epsilon=0),9,0.0,0
EpsilonGreedy (epsilon=0.01),0,1.3550474011565337,132
EpsilonGreedy (epsilon=0.01),1,0.0,0
EpsilonGreedy (epsilon=0.01),2,0.0,0
EpsilonGreedy (epsilon=0.01),3,4.72054519834392,1
EpsilonGreedy (epsilon=0.01),4,6.062515545352124,1
EpsilonGreedy (epsilon=0.01),5,0.0,0
EpsilonGreedy (epsilon=0.01),6,8.86865959162919,558
EpsilonGreedy (epsilon=0.01),7,8.757412030068437,4
EpsilonGreedy (epsilon=0.01),8,0.0,0
EpsilonGreedy (epsilon=0.01),9,7.4682728188746195,304
EpsilonGreedy (epsilon=0.1),0,1.4039203630710466,21
EpsilonGreedy (epsilon=0.1),1,2.19046987435455,17
EpsilonGreedy (epsilon=0.1),2,1.5830969847574077,8
EpsilonGreedy (epsilon=0.1),3,4.528707063160901,36
EpsilonGreedy (epsilon=0.1),4,6.515267302951586,7
EpsilonGreedy (epsilon=0.1),5,8.034749746421387,7
EpsilonGreedy (epsilon=0.1),6,9.058979488817268,12
EpsilonGreedy (epsilon=0.1),7,9.573109371529727,876
EpsilonGreedy (epsilon=0.1),8,6.5681378362028875,10
EpsilonGreedy (epsilon=0.1),9,7.352917289857296,6
