Step,EpsilonGreedy (epsilon=0),EpsilonGreedy (epsilon=0.01),EpsilonGreedy (epsilon=0.1)
0,0.00,0.20,1.20
20,0.00,1.40,15.20
40,0.00,2.80,27.20
60,0.00,5.40,38.20
80,0.00,7.00,47.20
100,0.00,8.60,51.60
120,0.00,10.60,55.40
140,0.00,12.40,61.40
160,0.00,15.20,67.20
180,0.00,16.40,70.60
200,0.00,17.00,71.80
220,0.00,18.40,75.40
240,0.00,20.20,80.20
260,0.00,21.60,79.80
280,0.00,23.20,80.80
300,0.00,25.80,82.40
320,0.00,26.60,85.20
340,0.00,28.00,84.60
360,0.00,29.80,88.40
380,0.00,31.00,84.80
400,0.00,32.00,84.00
420,0.00,33.20,87.60
440,0.00,33.60,88.00
460,0.00,34.80,86.40
480,0.00,36.40,88.40
500,0.00,36.80,88.60
520,0.00,38.00,87.20
540,0.00,39.80,89.20
560,0.00,40.60,89.40
580,0.00,40.80,90.20
600,0.00,42.20,88.20
620,0.00,43.00,90.60
640,0.00,44.00,88.80
660,0.00,44.80,88.00
680,0.00,44.80,88.20
700,0.00,46.60,91.20
720,0.00,47.40,90.40
740,0.00,48.80,88.20
760,0.00,49.20,88.40
780,0.00,50.40,87.60
800,0.00,51.00,89.00
820,0.00,52.40,90.60
840,0.00,53.60,90.00
860,0.00,53.20,90.20
880,0.00,53.60,87.00
900,0.00,55.00,92.60
920,0.00,55.60,92.20
940,0.00,55.80,88.60
960,0.00,56.60,91.40
980,0.00,57.60,93.80
