Step,EpsilonGreedy (epsilon=0),EpsilonGreedy (epsilon=0.01),EpsilonGreedy (epsilon=0.1)
0,1.54,1.63,1.98
20,1.61,2.27,6.01
40,1.56,2.96,7.67
60,1.46,3.60,8.09
80,1.49,3.99,8.58
100,1.53,4.44,8.75
120,1.56,4.88,8.67
140,1.58,5.24,8.82
160,1.58,5.58,8.97
180,1.54,5.86,8.97
200,1.51,6.12,8.99
220,1.60,6.38,8.92
240,1.57,6.55,9.14
260,1.49,6.79,9.08
280,1.56,6.97,9.08
300,1.63,7.18,9.15
320,1.50,7.41,9.32
340,1.58,7.49,9.09
360,1.64,7.65,9.29
380,1.58,7.89,9.04
400,1.61,7.87,9.08
420,1.57,8.07,9.08
440,1.58,8.00,9.22
460,1.59,8.12,9.04
480,1.52,8.18,9.20
500,1.52,8.33,9.24
520,1.64,8.33,8.99
540,1.61,8.40,9.14
560,1.58,8.50,9.16
580,1.56,8.48,9.13
600,1.66,8.57,9.16
620,1.60,8.58,9.28
640,1.54,8.61,9.16
660,1.63,8.60,9.07
680,1.52,8.57,9.03
700,1.52,8.75,9.28
720,1.50,8.78,9.25
740,1.61,8.74,9.00
760,1.47,8.72,9.21
780,1.52,8.74,9.08
800,1.54,8.78,9.12
820,1.50,8.91,9.13
840,1.55,8.95,9.18
860,1.63,8.87,9.08
880,1.55,8.82,9.02
900,1.59,8.98,9.29
920,1.58,9.06,9.22
940,1.68,8.89,9.05
960,1.58,8.93,9.17
980,1.56,8.98,9.30
