Step,UCB1 (c=1),UCB2
0,0.00,0.00
20,62.60,68.80
40,79.00,84.60
60,85.00,88.00
80,90.00,90.20
100,94.80,90.20
120,95.40,91.20
140,95.20,91.20
160,96.20,90.60
180,95.80,91.40
200,97.20,91.20
220,96.00,91.00
240,95.20,91.60
260,96.80,91.00
280,97.80,90.80
300,97.20,90.80
320,94.00,89.20
340,97.00,91.40
360,97.40,89.60
380,98.20,91.40
400,98.80,91.00
420,97.60,91.40
440,99.00,91.20
460,98.80,90.40
480,98.20,91.60
500,98.20,91.80
520,98.60,90.40
540,98.60,91.60
560,98.60,91.80
580,98.60,92.00
600,98.20,91.60
620,98.20,92.00
640,98.80,92.40
660,99.00,92.80
680,99.20,93.00
700,99.80,92.00
720,98.40,92.80
740,99.80,93.00
760,99.20,93.40
780,99.20,92.80
800,99.80,93.00
820,99.40,93.40
840,99.00,93.40
860,98.80,93.00
880,99.40,93.40
900,99.60,93.40
920,98.60,93.00
940,98.80,93.00
960,99.20,93.20
980,99.60,93.00
