Step,UCB1 (c=1),UCB2 (alpha=0.1)
0,0.94,0.93
20,34.60,33.38
40,40.91,37.27
60,45.84,39.23
80,48.56,41.17
100,49.88,43.17
120,51.27,44.55
140,52.57,46.43
160,52.95,48.46
180,54.10,50.04
200,54.65,51.33
220,55.49,53.14
240,57.00,54.68
260,58.63,56.66
280,59.70,58.67
300,60.81,60.35
320,62.17,62.20
340,63.39,64.28
360,63.90,66.17
380,64.52,67.84
400,64.99,69.15
420,65.40,70.69
440,65.79,72.53
460,66.38,74.09
480,66.80,75.61
500,67.62,77.18
520,67.68,78.90
540,67.94,80.29
560,68.12,81.81
580,68.72,83.53
600,69.20,85.20
620,69.51,86.60
640,69.75,87.99
660,69.44,89.44
680,69.22,90.71
700,69.58,92.12
720,69.97,93.38
740,70.08,94.76
760,70.40,95.59
780,70.38,96.70
800,70.89,98.22
820,70.45,99.11
840,70.96,100.36
860,70.33,101.85
880,70.09,102.80
900,70.35,103.47
920,70.50,104.45
940,70.54,105.70
960,70.56,106.67
980,70.50,107.70
