Step,UCB1 (c=1),UCB2
0,5.22,5.23
20,5.71,5.78
40,5.85,5.92
60,5.85,6.15
80,6.08,6.10
100,6.08,5.96
120,6.11,6.06
140,6.12,6.00
160,6.08,6.06
180,6.06,6.01
200,6.13,6.17
220,6.15,6.07
240,6.18,6.12
260,6.14,6.07
280,6.13,6.19
300,6.15,6.11
320,6.07,6.13
340,6.16,6.10
360,6.25,6.10
380,6.09,6.12
400,6.18,6.01
420,6.07,6.05
440,6.09,6.12
460,6.03,6.13
480,6.13,6.04
500,6.19,6.10
520,6.10,6.00
540,6.17,6.01
560,6.15,6.18
580,6.11,6.13
600,6.06,6.06
620,6.13,6.16
640,6.21,6.14
660,6.28,6.12
680,6.07,5.99
700,6.11,6.16
720,6.04,6.14
740,6.23,6.12
760,6.12,6.09
780,6.17,6.09
800,6.17,6.12
820,6.19,6.02
840,6.09,6.04
860,6.19,6.08
880,6.14,6.04
900,6.17,6.09
920,6.19,6.05
940,6.21,6.06
960,6.26,6.09
980,6.20,6.20
